pilot,source,pairwise_ca_rmsd
ets1,bioemu,2.534
ets1,bioemu,1.9406
ets1,bioemu,2.857
ets1,bioemu,2.3781
ets1,bioemu,1.7754
ets1,bioemu,3.6035
ets1,bioemu,1.9858
ets1,bioemu,1.5535
ets1,bioemu,1.6573
ets1,bioemu,1.9662
ets1,bioemu,1.9202
ets1,bioemu,1.8226
ets1,bioemu,2.141
ets1,bioemu,1.7766
ets1,bioemu,1.9852
ets1,bioemu,1.9859
ets1,bioemu,1.7087
ets1,bioemu,1.6764
ets1,bioemu,2.1798
ets1,bioemu,1.9822
ets1,bioemu,2.181
ets1,bioemu,2.6331
ets1,bioemu,1.8882
ets1,bioemu,2.3678
ets1,bioemu,1.9127
ets1,bioemu,1.814
ets1,bioemu,2.0652
ets1,bioemu,2.6205
ets1,bioemu,1.9262
ets1,bioemu,2.1926
ets1,bioemu,1.9454
ets1,bioemu,1.9203
ets1,bioemu,3.9391
ets1,bioemu,2.0264
ets1,bioemu,2.7552
ets1,bioemu,2.086
ets1,bioemu,2.421
ets1,bioemu,3.4551
ets1,bioemu,1.8151
ets1,bioemu,1.8127
ets1,bioemu,1.9739
ets1,bioemu,2.2012
ets1,bioemu,1.9748
ets1,bioemu,2.4026
ets1,bioemu,2.1327
ets1,bioemu,2.2487
ets1,bioemu,1.8197
ets1,bioemu,2.0606
ets1,bioemu,1.9486
ets1,bioemu,2.3146
ets1,bioemu,2.0521
ets1,bioemu,2.0809
ets1,bioemu,2.0057
ets1,bioemu,2.6012
ets1,bioemu,1.7635
ets1,bioemu,1.8353
ets1,bioemu,2.0833
ets1,bioemu,2.1828
ets1,bioemu,2.2668
ets1,bioemu,2.4321
ets1,bioemu,1.9771
ets1,bioemu,2.2059
ets1,bioemu,1.5737
ets1,bioemu,1.5374
ets1,bioemu,1.6709
ets1,bioemu,2.6379
ets1,bioemu,2.1227
ets1,bioemu,2.1052
ets1,bioemu,1.9883
ets1,bioemu,1.9005
ets1,bioemu,2.2543
ets1,bioemu,1.858
ets1,bioemu,2.044
ets1,bioemu,1.9047
ets1,bioemu,2.4499
ets1,bioemu,2.0865
ets1,bioemu,2.1021
ets1,bioemu,2.6492
ets1,bioemu,1.5643
ets1,bioemu,2.2116
ets1,bioemu,1.9735
ets1,bioemu,1.7742
ets1,bioemu,1.9365
ets1,bioemu,2.2656
ets1,bioemu,1.9011
ets1,bioemu,1.864
ets1,bioemu,1.9481
ets1,bioemu,1.8011
ets1,bioemu,1.8868
ets1,bioemu,1.9799
ets1,bioemu,1.9943
ets1,bioemu,2.0406
ets1,bioemu,1.8211
ets1,bioemu,2.0834
ets1,bioemu,2.0786
ets1,bioemu,1.7979
ets1,bioemu,2.0836
ets1,bioemu,1.7778
ets1,bioemu,2.1171
ets1,bioemu,1.7662
ets1,bioemu,2.9375
ets1,bioemu,1.8717
ets1,bioemu,1.9868
ets1,bioemu,4.2756
ets1,bioemu,1.7898
ets1,bioemu,1.8857
ets1,bioemu,1.8052
ets1,bioemu,1.7338
ets1,bioemu,2.0111
ets1,bioemu,1.7481
ets1,bioemu,1.7717
ets1,bioemu,1.9066
ets1,bioemu,1.6866
ets1,bioemu,1.8656
ets1,bioemu,1.7427
ets1,bioemu,1.8845
ets1,bioemu,2.2394
ets1,bioemu,1.9952
ets1,bioemu,1.7306
ets1,bioemu,2.5983
ets1,bioemu,1.7377
ets1,bioemu,1.8116
ets1,bioemu,2.1712
ets1,bioemu,1.756
ets1,bioemu,1.8848
ets1,bioemu,1.9634
ets1,bioemu,1.6293
ets1,bioemu,1.6298
ets1,bioemu,1.8452
ets1,bioemu,1.4853
ets1,bioemu,3.4391
ets1,bioemu,1.5527
ets1,bioemu,1.9044
ets1,bioemu,1.897
ets1,bioemu,1.7336
ets1,bioemu,2.6826
ets1,bioemu,1.9176
ets1,bioemu,1.6924
ets1,bioemu,1.777
ets1,bioemu,2.1954
ets1,bioemu,2.0755
ets1,bioemu,1.854
ets1,bioemu,2.0948
ets1,bioemu,1.6798
ets1,bioemu,1.7533
ets1,bioemu,1.6495
ets1,bioemu,1.674
ets1,bioemu,2.0231
ets1,bioemu,1.8974
ets1,bioemu,1.6942
ets1,bioemu,1.7811
ets1,bioemu,2.0356
ets1,bioemu,2.5465
ets1,bioemu,1.909
ets1,bioemu,1.6984
ets1,bioemu,1.888
ets1,bioemu,1.5192
ets1,bioemu,1.7302
ets1,bioemu,1.7018
ets1,bioemu,1.7557
ets1,bioemu,2.0346
ets1,bioemu,1.8982
ets1,bioemu,2.1489
ets1,bioemu,1.9605
ets1,bioemu,1.6638
ets1,bioemu,2.1853
ets1,bioemu,1.7238
ets1,bioemu,1.8429
ets1,bioemu,1.7359
ets1,bioemu,1.848
ets1,bioemu,1.939
ets1,bioemu,1.4989
ets1,bioemu,2.5244
ets1,bioemu,1.5771
ets1,bioemu,1.6211
ets1,bioemu,2.0426
ets1,bioemu,1.6552
ets1,bioemu,1.8274
ets1,bioemu,1.9951
ets1,bioemu,1.7618
ets1,bioemu,1.6563
ets1,bioemu,2.1226
ets1,bioemu,1.9745
ets1,bioemu,1.8092
ets1,bioemu,1.8846
ets1,bioemu,2.147
ets1,bioemu,1.6653
ets1,bioemu,1.9999
ets1,bioemu,1.7981
ets1,bioemu,1.8151
ets1,bioemu,1.6563
ets1,bioemu,1.8258
ets1,bioemu,1.9686
ets1,bioemu,1.8038
ets1,bioemu,1.7503
ets1,bioemu,1.7931
ets1,bioemu,1.6999
ets1,bioemu,2.8908
ets1,bioemu,1.3897
ets1,bioemu,1.6405
ets1,bioemu,3.8146
ets1,bioemu,1.4074
ets1,bioemu,1.3349
ets1,bioemu,1.0522
ets1,bioemu,1.4946
ets1,bioemu,1.5152
ets1,bioemu,1.1652
ets1,bioemu,1.4249
ets1,bioemu,1.2817
ets1,bioemu,1.0671
ets1,bioemu,1.3976
ets1,bioemu,1.6506
ets1,bioemu,1.2646
ets1,bioemu,2.2664
ets1,bioemu,1.5421
ets1,bioemu,1.694
ets1,bioemu,2.3356
ets1,bioemu,1.149
ets1,bioemu,1.4871
ets1,bioemu,1.7471
ets1,bioemu,1.2806
