pilot,pdb,source,model,seed,sample,ca_rmsd,n_ca
ets1,1k79,af3,seed-1_sample-0,1,0,0.4437,104
ets1,1k79,af3,seed-1_sample-1,1,1,0.4849,104
ets1,1k79,af3,seed-1_sample-2,1,2,0.4722,104
ets1,1k79,af3,seed-1_sample-3,1,3,0.4824,104
ets1,1k79,af3,seed-1_sample-4,1,4,0.4857,104
ets1,1k79,af3,seed-2_sample-0,2,0,0.4873,104
ets1,1k79,af3,seed-2_sample-1,2,1,0.4443,104
ets1,1k79,af3,seed-2_sample-2,2,2,0.4642,104
ets1,1k79,af3,seed-2_sample-3,2,3,0.51,104
ets1,1k79,af3,seed-2_sample-4,2,4,0.4861,104
tbp,1tgh,af3,seed-1_sample-0,1,0,0.5226,180
tbp,1tgh,af3,seed-1_sample-1,1,1,0.5892,180
tbp,1tgh,af3,seed-1_sample-2,1,2,0.5811,180
tbp,1tgh,af3,seed-1_sample-3,1,3,0.5207,180
tbp,1tgh,af3,seed-1_sample-4,1,4,0.5638,180
tbp,1tgh,af3,seed-2_sample-0,2,0,0.4967,180
tbp,1tgh,af3,seed-2_sample-1,2,1,0.5277,180
tbp,1tgh,af3,seed-2_sample-2,2,2,0.5473,180
tbp,1tgh,af3,seed-2_sample-3,2,3,0.6569,180
tbp,1tgh,af3,seed-2_sample-4,2,4,0.5231,180
egr1,1aay,af3,seed-1_sample-0,1,0,0.3704,85
egr1,1aay,af3,seed-1_sample-1,1,1,0.3543,85
egr1,1aay,af3,seed-1_sample-2,1,2,0.3654,85
egr1,1aay,af3,seed-1_sample-3,1,3,0.3417,85
egr1,1aay,af3,seed-1_sample-4,1,4,0.3063,85
egr1,1aay,af3,seed-2_sample-0,2,0,0.3905,85
egr1,1aay,af3,seed-2_sample-1,2,1,0.3648,85
egr1,1aay,af3,seed-2_sample-2,2,2,0.3883,85
egr1,1aay,af3,seed-2_sample-3,2,3,0.4288,85
egr1,1aay,af3,seed-2_sample-4,2,4,0.4246,85
engrailed,3hdd,af3,seed-1_sample-0,1,0,0.376,55
engrailed,3hdd,af3,seed-1_sample-1,1,1,0.354,55
engrailed,3hdd,af3,seed-1_sample-2,1,2,0.3964,55
engrailed,3hdd,af3,seed-1_sample-3,1,3,0.3921,55
engrailed,3hdd,af3,seed-1_sample-4,1,4,0.3984,55
engrailed,3hdd,af3,seed-2_sample-0,2,0,0.4033,55
engrailed,3hdd,af3,seed-2_sample-1,2,1,0.3917,55
engrailed,3hdd,af3,seed-2_sample-2,2,2,0.3618,55
engrailed,3hdd,af3,seed-2_sample-3,2,3,0.4051,55
engrailed,3hdd,af3,seed-2_sample-4,2,4,0.3972,55
foxa,1vtn,af3,seed-1_sample-0,1,0,1.1482,102
foxa,1vtn,af3,seed-1_sample-1,1,1,1.105,102
foxa,1vtn,af3,seed-1_sample-2,1,2,1.0815,102
foxa,1vtn,af3,seed-1_sample-3,1,3,1.173,102
foxa,1vtn,af3,seed-1_sample-4,1,4,1.2911,102
foxa,1vtn,af3,seed-2_sample-0,2,0,1.123,102
foxa,1vtn,af3,seed-2_sample-1,2,1,1.1733,102
foxa,1vtn,af3,seed-2_sample-2,2,2,1.131,102
foxa,1vtn,af3,seed-2_sample-3,2,3,1.1635,102
foxa,1vtn,af3,seed-2_sample-4,2,4,1.1901,102
lef1,2lef,af3,seed-1_sample-0,1,0,1.1161,86
lef1,2lef,af3,seed-1_sample-1,1,1,1.3223,86
lef1,2lef,af3,seed-1_sample-2,1,2,1.0054,86
lef1,2lef,af3,seed-1_sample-3,1,3,1.0753,86
lef1,2lef,af3,seed-1_sample-4,1,4,1.0862,86
lef1,2lef,af3,seed-2_sample-0,2,0,1.2781,86
lef1,2lef,af3,seed-2_sample-1,2,1,1.1308,86
lef1,2lef,af3,seed-2_sample-2,2,2,0.9048,86
lef1,2lef,af3,seed-2_sample-3,2,3,1.0772,86
lef1,2lef,af3,seed-2_sample-4,2,4,1.1064,86
